# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:16:03 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103010 MYSTIC RIVER AT ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103010
#    DD parameter   Description
#    01   00065     Gage height, feet
#    02   00060     Discharge, cubic feet per second
#    03   00055     Stream velocity, feet per second
#    06   00010     Temperature, water, degrees Celsius
#    07   00011     Temperature, water, degrees Fahrenheit
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00065	01_00065_cd	02_00060	02_00060_cd	03_00055	03_00055_cd	06_00010	06_00010_cd	07_00011	07_00011_cd
USGS	01103010	2015-10-14 13:15	EDT	-0.59	P	-38	P	-0.18	P	16.4	P	61.2	P
USGS	01103010	2015-10-14 13:30	EDT	-0.59	P	-84	P	-0.40	P	16.4	P	61.3	P
USGS	01103010	2015-10-14 13:45	EDT	-0.58	P	-7.2	P	-0.03	P	16.5	P	61.3	P
USGS	01103010	2015-10-14 14:00	EDT	-0.57	P	-7.2	P	-0.03	P	16.4	P	61.2	P
USGS	01103010	2015-10-14 14:15	EDT	-0.58	P	-38	P	-0.18	P	16.5	P	61.2	P
USGS	01103010	2015-10-14 14:30	EDT	-0.57	P	-84	P	-0.40	P	16.6	P	61.2	P
USGS	01103010	2015-10-14 14:45	EDT	-0.56	P	8.2	P	0.04	P	16.5	P	61.3	P
USGS	01103010	2015-10-14 15:00	EDT	-0.57	P	-38	P	-0.18	P	16.5	P	61.3	P
USGS	01103010	2015-10-14 15:15	EDT	-0.56	P	-84	P	-0.40	P	16.7	P	61.4	P
USGS	01103010	2015-10-14 15:30	EDT	-0.56	P	70	P	0.33	P	16.6	P	61.4	P
USGS	01103010	2015-10-14 15:45	EDT	-0.56	P	-131	P	-0.62	P	16.5	P	61.4	P
USGS	01103010	2015-10-14 16:00	EDT	-0.57	P	-23	P	-0.11	P	16.6	P	61.5	P
USGS	01103010	2015-10-14 16:15	EDT	-0.57	P	8.1	P	0.04	P	16.6	P	61.3	P
USGS	01103010	2015-10-14 16:30	EDT	-0.55	P	55	P	0.26	P	16.8	P	61.4	P
USGS	01103010	2015-10-14 16:45	EDT	-0.55	P	-131	P	-0.62	P	16.6	P	61.4	P
USGS	01103010	2015-10-14 17:00	EDT	-0.54	P	-38	P	-0.18	P	16.7	P	61.4	P
USGS	01103010	2015-10-14 17:15	EDT	-0.56	P	-38	P	-0.18	P	16.6	P	61.4	P
USGS	01103010	2015-10-14 17:30	EDT	-0.56	P	-23	P	-0.11	P	16.7	P	61.5	P
USGS	01103010	2015-10-14 17:45	EDT	-0.56	P	70	P	0.33	P	16.7	P	61.6	P
USGS	01103010	2015-10-14 18:00	EDT	-0.57	P	24	P	0.11	P	16.7	P	61.6	P
USGS	01103010	2015-10-14 18:15	EDT	-0.58	P	23	P	0.11	P	16.6	P	61.6	P
USGS	01103010	2015-10-14 18:30	EDT	-0.58	P	8.1	P	0.04	P	16.6	P	61.6	P
USGS	01103010	2015-10-14 18:45	EDT	-0.59	P	-23	P	-0.11	P	16.5	P	61.5	P
USGS	01103010	2015-10-14 19:00	EDT	-0.60	P	-22	P	-0.11	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 19:15	EDT	-0.61	P	54	P	0.26	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 19:30	EDT	-0.61	P	39	P	0.19	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 19:45	EDT	-0.62	P	99	P	0.48	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 20:00	EDT	-0.64	P	23	P	0.11	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 20:15	EDT	-0.64	P	-68	P	-0.33	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 20:30	EDT	-0.65	P	8.0	P	0.04	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 20:45	EDT	-0.66	P	-22	P	-0.11	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 21:00	EDT	-0.67	P	83	P	0.41	P	16.4	P	61.5	P
USGS	01103010	2015-10-14 21:15	EDT	-0.69	P	68	P	0.33	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 21:30	EDT	-0.69	P	-127	P	-0.62	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 21:45	EDT	-0.70	P	38	P	0.19	P	16.4	P	61.4	P
USGS	01103010	2015-10-14 22:00	EDT	-0.70	P	23	P	0.11	P	16.4	P	61.3	P
USGS	01103010	2015-10-14 22:15	EDT	-0.71	P	7.9	P	0.04	P	16.4	P	61.3	P
USGS	01103010	2015-10-14 22:30	EDT	-0.71	P	127	P	0.63	P	16.3	P	61.3	P
USGS	01103010	2015-10-14 22:45	EDT	-0.72	P	-96	P	-0.48	P	16.4	P	61.2	P
USGS	01103010	2015-10-14 23:00	EDT	-0.72	P	-7.0	P	-0.03	P	16.4	P	61.1	P
USGS	01103010	2015-10-14 23:15	EDT	-0.72	P	-81	P	-0.40	P	16.3	P	61.2	P
USGS	01103010	2015-10-14 23:30	EDT	-0.72	P	-22	P	-0.11	P	16.3	P	61.1	P
USGS	01103010	2015-10-14 23:45	EDT	-0.72	P	7.9	P	0.04	P	16.3	P	61.2	P
USGS	01103010	2015-10-15 00:00	EDT	-0.72	P	-141	P	-0.70	P	16.3	P	61.1	P
USGS	01103010	2015-10-15 00:15	EDT	-0.72	P	-126	P	-0.62	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 00:30	EDT	-0.72	P	23	P	0.11	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 00:45	EDT	-0.71	P	-7.0	P	-0.03	P	16.3	P	61.0	P
USGS	01103010	2015-10-15 01:00	EDT	-0.71	P	-52	P	-0.26	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 01:15	EDT	-0.71	P	-52	P	-0.26	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 01:30	EDT	-0.71	P	-22	P	-0.11	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 01:45	EDT	-0.70	P	-82	P	-0.40	P	16.2	P	60.9	P
USGS	01103010	2015-10-15 02:00	EDT	-0.70	P	-112	P	-0.55	P	16.2	P	60.8	P
USGS	01103010	2015-10-15 02:15	EDT	-0.70	P	38	P	0.19	P	16.1	P	60.8	P
USGS	01103010	2015-10-15 02:30	EDT	-0.69	P	113	P	0.55	P	16.1	P	60.8	P
USGS	01103010	2015-10-15 02:45	EDT	-0.69	P	68	P	0.33	P	16.1	P	60.7	P
USGS	01103010	2015-10-15 03:00	EDT	-0.69	P	-7.0	P	-0.03	P	16.0	P	60.7	P
USGS	01103010	2015-10-15 03:15	EDT	-0.69	P	-37	P	-0.18	P	16.0	P	60.6	P
USGS	01103010	2015-10-15 03:30	EDT	-0.69	P	-67	P	-0.33	P	16.0	P	60.5	P
USGS	01103010	2015-10-15 03:45	EDT	-0.68	P	-67	P	-0.33	P	15.9	P	60.5	P
USGS	01103010	2015-10-15 04:00	EDT	-0.68	P	53	P	0.26	P	16.0	P	60.5	P
USGS	01103010	2015-10-15 04:15	EDT	-0.68	P	38	P	0.19	P	15.9	P	60.5	P
USGS	01103010	2015-10-15 04:30	EDT	-0.68	P	-127	P	-0.62	P	15.9	P	60.4	P
USGS	01103010	2015-10-15 04:45	EDT	-0.68	P	-52	P	-0.26	P	15.9	P	60.4	P
USGS	01103010	2015-10-15 05:00	EDT	-0.67	P	-7.1	P	-0.03	P	15.9	P	60.4	P
USGS	01103010	2015-10-15 05:15	EDT	-0.67	P	-37	P	-0.18	P	15.9	P	60.3	P
USGS	01103010	2015-10-15 05:30	EDT	-0.67	P	-127	P	-0.62	P	15.8	P	60.3	P
USGS	01103010	2015-10-15 05:45	EDT	-0.67	P	-37	P	-0.18	P	15.8	P	60.2	P
USGS	01103010	2015-10-15 06:00	EDT	-0.67	P	-7.1	P	-0.03	P	15.7	P	60.0	P
USGS	01103010	2015-10-15 06:15	EDT	-0.67	P	23	P	0.11	P	15.6	P	60.0	P
USGS	01103010	2015-10-15 06:30	EDT	-0.68	P	68	P	0.33	P	15.6	P	59.9	P
USGS	01103010	2015-10-15 06:45	EDT	-0.68	P	-82	P	-0.40	P	15.5	P	59.7	P
USGS	01103010	2015-10-15 07:00	EDT	-0.69	P	-82	P	-0.40	P	15.4	P	59.7	P
USGS	01103010	2015-10-15 07:15	EDT	-0.69	P	23	P	0.11	P	15.4	P	59.7	P
USGS	01103010	2015-10-15 07:30	EDT	-0.69	P	7.9	P	0.04	P	15.4	P	59.5	P
USGS	01103010	2015-10-15 07:45	EDT	-0.69	P	-7.0	P	-0.03	P	15.4	P	59.4	P
USGS	01103010	2015-10-15 08:00	EDT	-0.70	P	-22	P	-0.11	P	15.4	P	59.4	P
USGS	01103010	2015-10-15 08:15	EDT	-0.70	P	53	P	0.26	P	15.3	P	59.4	P
USGS	01103010	2015-10-15 08:30	EDT	-0.71	P	-22	P	-0.11	P	15.3	P	59.4	P
USGS	01103010	2015-10-15 08:45	EDT	-0.72	P	-37	P	-0.18	P	15.2	P	59.4	P
USGS	01103010	2015-10-15 09:00	EDT	-0.72	P	-22	P	-0.11	P	15.2	P	59.4	P
USGS	01103010	2015-10-15 09:15	EDT	-0.73	P	-7.0	P	-0.03	P	15.3	P	59.5	P
USGS	01103010	2015-10-15 09:30	EDT	-0.74	P	-7.0	P	-0.03	P	15.3	P	59.6	P
USGS	01103010	2015-10-15 09:45	EDT	-0.74	P	37	P	0.19	P	15.4	P	59.7	P
USGS	01103010	2015-10-15 10:00	EDT	-0.74	P	111	P	0.55	P	15.4	P	59.8	P
USGS	01103010	2015-10-15 10:15	EDT	-0.75	P	-6.9	P	-0.03	P	15.5	P	59.8	P
USGS	01103010	2015-10-15 10:30	EDT	-0.75	P	-51	P	-0.26	P	15.6	P	59.9	P
USGS	01103010	2015-10-15 10:45	EDT	-0.75	P	-66	P	-0.33	P	15.7	P	59.9	P
USGS	01103010	2015-10-15 11:00	EDT	-0.75	P	37	P	0.19	P	15.8	P	60.0	P
USGS	01103010	2015-10-15 11:15	EDT	-0.75	P	52	P	0.26	P	15.9	P	60.2	P
USGS	01103010	2015-10-15 11:30	EDT	-0.74	P	-66	P	-0.33	P	16.0	P	60.5	P
USGS	01103010	2015-10-15 11:45	EDT	-0.74	P	52	P	0.26	P	16.1	P	60.4	P
USGS	01103010	2015-10-15 12:00	EDT	-0.74	P	23	P	0.11	P	15.9	P	60.3	P
USGS	01103010	2015-10-15 12:15	EDT	-0.74	P	-125	P	-0.62	P	15.9	P	60.3	P
USGS	01103010	2015-10-15 12:30	EDT	-0.73	P	67	P	0.33	P	15.9	P	60.3	P
USGS	01103010	2015-10-15 12:45	EDT	-0.74	P	-66	P	-0.33	P	16.0	P	60.3	P
USGS	01103010	2015-10-15 13:00	EDT	-0.73	P	-51	P	-0.26	P	16.1	P	60.4	P
USGS	01103010	2015-10-15 13:15	EDT	-0.73	P	-7.0	P	-0.03	P	16.2	P	60.4	P
USGS	01103010	2015-10-15 13:30	EDT	-0.72	P	-7.0	P	-0.03	P	16.2	P	60.5	P
USGS	01103010	2015-10-15 13:45	EDT	-0.71	P	-52	P	-0.26	P	16.2	P	60.6	P
USGS	01103010	2015-10-15 14:00	EDT	-0.71	P	-52	P	-0.26	P	16.3	P	60.6	P
USGS	01103010	2015-10-15 14:15	EDT	-0.71	P	-126	P	-0.62	P	16.3	P	60.6	P
USGS	01103010	2015-10-15 14:30	EDT	-0.71	P	-37	P	-0.18	P	16.4	P	60.6	P
USGS	01103010	2015-10-15 14:45	EDT	-0.70	P	-67	P	-0.33	P	16.2	P	60.7	P
USGS	01103010	2015-10-15 15:00	EDT	-0.70	P	-37	P	-0.18	P	16.3	P	60.8	P
USGS	01103010	2015-10-15 15:15	EDT	-0.69	P	53	P	0.26	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 15:30	EDT	-0.69	P	-52	P	-0.26	P	16.3	P	60.8	P
USGS	01103010	2015-10-15 15:45	EDT	-0.69	P	-82	P	-0.40	P	16.3	P	60.8	P
USGS	01103010	2015-10-15 16:00	EDT	-0.68	P	8.0	P	0.04	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 16:15	EDT	-0.68	P	-37	P	-0.18	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 16:30	EDT	-0.68	P	-22	P	-0.11	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 16:45	EDT	-0.67	P	23	P	0.11	P	16.4	P	60.9	P
USGS	01103010	2015-10-15 17:00	EDT	-0.67	P	68	P	0.33	P	16.4	P	60.9	P
USGS	01103010	2015-10-15 17:15	EDT	-0.67	P	-82	P	-0.40	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 17:30	EDT	-0.67	P	-112	P	-0.55	P	16.4	P	60.8	P
USGS	01103010	2015-10-15 17:45	EDT	-0.67	P	-52	P	-0.26	P	16.4	P	60.9	P
USGS	01103010	2015-10-15 18:00	EDT	-0.66	P	-82	P	-0.40	P	16.4	P	60.9	P
USGS	01103010	2015-10-15 18:15	EDT	-0.66	P	-7.1	P	-0.03	P	16.4	P	60.9	P
USGS	01103010	2015-10-15 18:30	EDT	-0.66	P	-113	P	-0.55	P	16.3	P	60.9	P
USGS	01103010	2015-10-15 18:45	EDT	-0.66	P	-7.1	P	-0.03	P	16.3	P	61.0	P
USGS	01103010	2015-10-15 19:00	EDT	-0.66	P	8.0	P	0.04	P	16.3	P	61.0	P
USGS	01103010	2015-10-15 19:15	EDT	-0.66	P	38	P	0.19	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 19:30	EDT	-0.66	P	-7.1	P	-0.03	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 19:45	EDT	-0.67	P	68	P	0.33	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 20:00	EDT	-0.67	P	-22	P	-0.11	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 20:15	EDT	-0.68	P	-7.1	P	-0.03	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 20:30	EDT	-0.69	P	23	P	0.11	P	16.3	P	61.2	P
USGS	01103010	2015-10-15 20:45	EDT	-0.69	P	-67	P	-0.33	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 21:00	EDT	-0.70	P	-22	P	-0.11	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 21:15	EDT	-0.71	P	7.9	P	0.04	P	16.2	P	61.1	P
USGS	01103010	2015-10-15 21:30	EDT	-0.72	P	97	P	0.48	P	16.2	P	61.0	P
USGS	01103010	2015-10-15 21:45	EDT	-0.72	P	-7.0	P	-0.03	P	16.1	P	61.0	P
USGS	01103010	2015-10-15 22:00	EDT	-0.73	P	-111	P	-0.55	P	16.1	P	61.0	P
USGS	01103010	2015-10-15 22:15	EDT	-0.73	P	-22	P	-0.11	P	16.1	P	61.0	P
USGS	01103010	2015-10-15 22:30	EDT	-0.74	P	23	P	0.11	P	16.1	P	61.0	P
USGS	01103010	2015-10-15 22:45	EDT	-0.74	P	-37	P	-0.18	P	16.1	P	60.9	P
USGS	01103010	2015-10-15 23:00	EDT	-0.74	P	-37	P	-0.18	P	16.1	P	60.9	P
USGS	01103010	2015-10-15 23:15	EDT	-0.74	P	-7.0	P	-0.03	P	16.1	P	60.8	P
USGS	01103010	2015-10-15 23:30	EDT	-0.75	P	23	P	0.11	P	16.1	P	60.8	P
USGS	01103010	2015-10-15 23:45	EDT	-0.75	P	-36	P	-0.18	P	16.1	P	60.7	P
USGS	01103010	2015-10-16 00:00	EDT	-0.75	P	-51	P	-0.26	P	16.1	P	60.7	P
USGS	01103010	2015-10-16 00:15	EDT	-0.75	P	23	P	0.11	P	16.0	P	60.7	P
USGS	01103010	2015-10-16 00:30	EDT	-0.75	P	-36	P	-0.18	P	16.0	P	60.7	P
USGS	01103010	2015-10-16 00:45	EDT	-0.75	P	23	P	0.11	P	16.0	P	60.6	P
USGS	01103010	2015-10-16 01:00	EDT	-0.75	P	67	P	0.33	P	16.0	P	60.6	P
USGS	01103010	2015-10-16 01:15	EDT	-0.74	P	-51	P	-0.26	P	15.9	P	60.5	P
USGS	01103010	2015-10-16 01:30	EDT	-0.74	P	-81	P	-0.40	P	16.0	P	60.5	P
USGS	01103010	2015-10-16 01:45	EDT	-0.73	P	7.9	P	0.04	P	16.0	P	60.6	P
USGS	01103010	2015-10-16 02:00	EDT	-0.73	P	-22	P	-0.11	P	16.0	P	60.6	P
USGS	01103010	2015-10-16 02:15	EDT	-0.73	P	67	P	0.33	P	16.0	P	60.5	P
USGS	01103010	2015-10-16 02:30	EDT	-0.72	P	-52	P	-0.26	P	15.9	P	60.4	P
USGS	01103010	2015-10-16 02:45	EDT	-0.72	P	-7.0	P	-0.03	P	15.9	P	60.4	P
USGS	01103010	2015-10-16 03:00	EDT	-0.72	P	-111	P	-0.55	P	15.9	P	60.3	P
USGS	01103010	2015-10-16 03:15	EDT	-0.72	P	-37	P	-0.18	P	15.8	P	60.3	P
USGS	01103010	2015-10-16 03:30	EDT	-0.72	P	-37	P	-0.18	P	15.8	P	60.2	P
USGS	01103010	2015-10-16 03:45	EDT	-0.71	P	23	P	0.11	P	15.8	P	60.2	P
USGS	01103010	2015-10-16 04:00	EDT	-0.71	P	-22	P	-0.11	P	15.8	P	60.2	P
USGS	01103010	2015-10-16 04:15	EDT	-0.70	P	-97	P	-0.48	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 04:30	EDT	-0.71	P	-37	P	-0.18	P	15.8	P	60.0	P
USGS	01103010	2015-10-16 04:45	EDT	-0.70	P	-82	P	-0.40	P	15.7	P	60.0	P
USGS	01103010	2015-10-16 05:00	EDT	-0.70	P	-82	P	-0.40	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 05:15	EDT	-0.70	P	23	P	0.11	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 05:30	EDT	-0.70	P	-7.0	P	-0.03	P	15.6	P	59.9	P
USGS	01103010	2015-10-16 05:45	EDT	-0.70	P	23	P	0.11	P	15.6	P	59.9	P
USGS	01103010	2015-10-16 06:00	EDT	-0.69	P	-37	P	-0.18	P	15.5	P	59.8	P
USGS	01103010	2015-10-16 06:15	EDT	-0.69	P	68	P	0.33	P	15.5	P	59.8	P
USGS	01103010	2015-10-16 06:30	EDT	-0.69	P	38	P	0.19	P	15.5	P	59.8	P
USGS	01103010	2015-10-16 06:45	EDT	-0.70	P	7.9	P	0.04	P	15.5	P	59.8	P
USGS	01103010	2015-10-16 07:00	EDT	-0.70	P	68	P	0.33	P	15.5	P	59.7	P
USGS	01103010	2015-10-16 07:15	EDT	-0.69	P	23	P	0.11	P	15.5	P	59.7	P
USGS	01103010	2015-10-16 07:30	EDT	-0.70	P	7.9	P	0.04	P	15.4	P	59.5	P
USGS	01103010	2015-10-16 07:45	EDT	-0.71	P	-52	P	-0.26	P	15.4	P	59.5	P
USGS	01103010	2015-10-16 08:00	EDT	-0.71	P	-37	P	-0.18	P	15.4	P	59.5	P
USGS	01103010	2015-10-16 08:15	EDT	-0.72	P	-81	P	-0.40	P	15.3	P	59.4	P
USGS	01103010	2015-10-16 08:30	EDT	-0.72	P	-7.0	P	-0.03	P	15.3	P	59.4	P
USGS	01103010	2015-10-16 08:45	EDT	-0.73	P	7.9	P	0.04	P	15.3	P	59.4	P
USGS	01103010	2015-10-16 09:00	EDT	-0.74	P	-81	P	-0.40	P	15.3	P	59.4	P
USGS	01103010	2015-10-16 09:15	EDT	-0.74	P	67	P	0.33	P	15.3	P	59.5	P
USGS	01103010	2015-10-16 09:30	EDT	-0.75	P	52	P	0.26	P	15.3	P	59.6	P
USGS	01103010	2015-10-16 09:45	EDT	-0.76	P	-36	P	-0.18	P	15.4	P	59.6	P
USGS	01103010	2015-10-16 10:00	EDT	-0.77	P	37	P	0.19	P	15.4	P	59.8	P
USGS	01103010	2015-10-16 10:15	EDT	-0.77	P	-6.9	P	-0.03	P	15.5	P	59.8	P
USGS	01103010	2015-10-16 10:30	EDT	-0.77	P	22	P	0.11	P	15.6	P	59.9	P
USGS	01103010	2015-10-16 10:45	EDT	-0.77	P	214	P	1.07	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 11:00	EDT	-0.78	P	-36	P	-0.18	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 11:15	EDT	-0.78	P	-80	P	-0.40	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 11:30	EDT	-0.78	P	-22	P	-0.11	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 11:45	EDT	-0.78	P	37	P	0.19	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 12:00	EDT	-0.78	P	-80	P	-0.40	P	15.8	P	60.2	P
USGS	01103010	2015-10-16 12:15	EDT	-0.79	P	-22	P	-0.11	P	15.9	P	60.2	P
USGS	01103010	2015-10-16 12:30	EDT	-0.78	P	-66	P	-0.33	P	15.9	P	60.3	P
USGS	01103010	2015-10-16 12:45	EDT	-0.77	P	-22	P	-0.11	P	16.0	P	60.4	P
USGS	01103010	2015-10-16 13:00	EDT	-0.77	P	-6.9	P	-0.03	P	16.2	P	60.5	P
USGS	01103010	2015-10-16 13:15	EDT	-0.78	P	-36	P	-0.18	P	16.2	P	60.6	P
USGS	01103010	2015-10-16 13:30	EDT	-0.77	P	-110	P	-0.55	P	16.2	P	60.6	P
USGS	01103010	2015-10-16 13:45	EDT	-0.77	P	-36	P	-0.18	P	16.1	P	60.5	P
USGS	01103010	2015-10-16 14:00	EDT	-0.77	P	-6.9	P	-0.03	P	16.1	P		
USGS	01103010	2015-10-16 14:15	EDT	-0.76	P	-51	P	-0.26	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 14:30	EDT	-0.76	P	-36	P	-0.18	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 14:45	EDT	-0.75	P	-81	P	-0.40	P	16.1	P	60.7	P
USGS	01103010	2015-10-16 15:00	EDT	-0.76	P	-51	P	-0.26	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 15:15	EDT	-0.75	P	-51	P	-0.26	P	16.2	P	60.7	P
USGS	01103010	2015-10-16 15:30	EDT	-0.74	P	-7.0	P	-0.03	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 15:45	EDT	-0.73	P	-22	P	-0.11	P	16.3	P	60.8	P
USGS	01103010	2015-10-16 16:00	EDT	-0.73	P	7.9	P	0.04	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 16:15	EDT	-0.73	P	-37	P	-0.18	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 16:30	EDT	-0.72	P	-52	P	-0.26	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 16:45	EDT	-0.72	P	-81	P	-0.40	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 17:00	EDT	-0.72	P	23	P	0.11	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 17:15	EDT	-0.72	P	-52	P	-0.26	P	16.2	P	60.8	P
USGS	01103010	2015-10-16 17:30	EDT	-0.71	P	7.9	P	0.04	P	16.1	P	60.8	P
USGS	01103010	2015-10-16 17:45	EDT	-0.71	P	-22	P	-0.11	P	16.1	P	60.8	P
USGS	01103010	2015-10-16 18:00	EDT	-0.71	P	-111	P	-0.55	P	16.1	P	60.8	P
USGS	01103010	2015-10-16 18:15	EDT	-0.70	P	-156	P	-0.77	P	16.1	P	60.7	P
USGS	01103010	2015-10-16 18:30	EDT	-0.70	P	23	P	0.11	P	16.1	P	60.6	P
USGS	01103010	2015-10-16 18:45	EDT	-0.70	P	-67	P	-0.33	P	16.1	P	60.6	P
USGS	01103010	2015-10-16 19:00	EDT	-0.70	P	-112	P	-0.55	P	16.0	P	60.6	P
USGS	01103010	2015-10-16 19:15	EDT	-0.70	P	-52	P	-0.26	P	16.0	P	60.5	P
USGS	01103010	2015-10-16 19:30	EDT	-0.70	P	23	P	0.11	P	15.9	P	60.5	P
USGS	01103010	2015-10-16 19:45	EDT	-0.70	P	7.9	P	0.04	P	15.9	P	60.4	P
USGS	01103010	2015-10-16 20:00	EDT	-0.70	P	-7.0	P	-0.03	P	15.9	P	60.4	P
USGS	01103010	2015-10-16 20:15	EDT	-0.70	P	68	P	0.33	P	15.9	P	60.4	P
USGS	01103010	2015-10-16 20:30	EDT	-0.70	P	-7.0	P	-0.03	P	15.9	P	60.2	P
USGS	01103010	2015-10-16 20:45	EDT	-0.70	P	-82	P	-0.40	P	15.8	P	60.2	P
USGS	01103010	2015-10-16 21:00	EDT	-0.70	P	7.9	P	0.04	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 21:15	EDT	-0.70	P	7.9	P	0.04	P	15.8	P	60.1	P
USGS	01103010	2015-10-16 21:30	EDT	-0.70	P	98	P	0.48	P	15.8	P	60.0	P
USGS	01103010	2015-10-16 21:45	EDT	-0.70	P	-97	P	-0.48	P	15.7	P	60.0	P
USGS	01103010	2015-10-16 22:00	EDT	-0.71	P	-52	P	-0.26	P	15.7	P	60.0	P
USGS	01103010	2015-10-16 22:15	EDT	-0.71	P	-82	P	-0.40	P	15.7	P	60.0	P
USGS	01103010	2015-10-16 22:30	EDT	-0.71	P	7.9	P	0.04	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 22:45	EDT	-0.71	P	38	P	0.19	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 23:00	EDT	-0.72	P	-111	P	-0.55	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 23:15	EDT	-0.72	P	-52	P	-0.26	P	15.6	P	60.0	P
USGS	01103010	2015-10-16 23:30	EDT	-0.73	P	52	P	0.26	P	15.6	P	59.9	P
USGS	01103010	2015-10-16 23:45	EDT	-0.73	P	-51	P	-0.26	P	15.6	P	59.7	P
USGS	01103010	2015-10-17 00:00	EDT	-0.73	P	52	P	0.26	P	15.5	P	59.6	P
USGS	01103010	2015-10-17 00:15	EDT	-0.73	P	-7.0	P	-0.03	P	15.4	P	59.6	P
USGS	01103010	2015-10-17 00:30	EDT	-0.73	P	-37	P	-0.18	P	15.4	P	59.5	P
USGS	01103010	2015-10-17 00:45	EDT	-0.74	P	-81	P	-0.40	P	15.4	P	59.4	P
USGS	01103010	2015-10-17 01:00	EDT	-0.74	P	7.8	P	0.04	P	15.3	P	59.3	P
USGS	01103010	2015-10-17 01:15	EDT	-0.74	P	42	P	0.21	P	15.3	P	59.3	P
USGS	01103010	2015-10-17 01:30	EDT	-0.74	P	77	P	0.38	P	15.2	P	59.3	P
USGS	01103010	2015-10-17 01:45	EDT	-0.73	P	112	P	0.55	P	15.2	P	59.2	P
USGS	01103010	2015-10-17 02:00	EDT	-0.73	P	-22	P	-0.11	P	15.2	P	59.2	P
USGS	01103010	2015-10-17 02:15	EDT	-0.73	P	-66	P	-0.33	P	15.2	P	59.2	P
USGS	01103010	2015-10-17 02:30	EDT	-0.72	P	-7.0	P	-0.03	P	15.2	P	59.2	P
USGS	01103010	2015-10-17 02:45	EDT	-0.72	P	-37	P	-0.18	P	15.3	P	59.2	P
USGS	01103010	2015-10-17 03:00	EDT	-0.72	P	-7.0	P	-0.03	P	15.2	P	59.2	P
USGS	01103010	2015-10-17 03:15	EDT	-0.71	P	-141	P	-0.70	P	15.2	P	59.0	P
