# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:07:12 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104430
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    03   00010     00002     Temperature, water, degrees Celsius (Minimum)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#    04   00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#    13   00020     00001     Temperature, air, degrees Celsius (Maximum)
#    13   00020     00002     Temperature, air, degrees Celsius (Minimum)
#    13   00020     00003     Temperature, air, degrees Celsius (Mean)
#    14   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00001	03_00010_00001_cd	03_00010_00002	03_00010_00002_cd	03_00010_00003	03_00010_00003_cd	04_00095_00001	04_00095_00001_cd	04_00095_00002	04_00095_00002_cd	04_00095_00003	04_00095_00003_cd	13_00020_00001	13_00020_00001_cd	13_00020_00002	13_00020_00002_cd	13_00020_00003	13_00020_00003_cd	14_00045_00006	14_00045_00006_cd
USGS	01104430	2008-04-16	2.8	A	12.0	A	9.3	A	10.2	A	811	A	799	A	804	A	17.4	A	-1.4	A	8.7	A	0.00	A
USGS	01104430	2008-04-17	2.9	A	12.0	A	9.3	A	10.4	A	811	A	800	A	805	A	17.6	A	0.4	A	9.3	A	0.00	A
USGS	01104430	2008-04-18	3.0	A	12.8	A	10.2	A	11.1	A	812	A	803	A	806	A	23.0	A	2.9	A	13.5	A	0.00	A
USGS	01104430	2008-04-19	2.9	A	13.6	A	10.2	A	11.9	A	814	A	804	A	809	A	19.1	A	4.2	A	11.6	A	0.00	A
USGS	01104430	2008-04-20	3.0	A	13.8	A	11.5	A	12.6	A	814	A	808	A	812	A	15.6	A	6.0	A	10.9	A	0.00	A
USGS	01104430	2008-04-21	3.0	A	13.4	A	12.2	A	12.7	A	814	A	811	A	812	A	17.6	A	6.8	A	11.0	A	0.00	A
USGS	01104430	2008-04-22	3.1	A	13.8	A	11.8	A	12.4	A	817	A	810	A	812	A	24.0	A	3.7	A	13.9	A	0.00	A
USGS	01104430	2008-04-23	3.2	A	13.1	A	11.4	A	12.2	A	818	A	807	A	814	A	28.9	A	6.7	A	18.9	A	0.00	A
USGS	01104430	2008-04-24	3.2	A	15.5	A	12.5	A	14.3	A	827	A	814	A	820	A	21.4	A	14.3	A	18.5	A	0.00	A
USGS	01104430	2008-04-25	3.2	A	15.5	A	13.2	A	14.0	A	830	A	816	A	822	A	21.5	A	3.5	A	12.7	A	0.00	A
USGS	01104430	2008-04-26	3.2	A	14.6	A	13.6	A	14.1	A	826	A	820	A	823	A	14.3	A	4.1	A	9.9	A	0.00	A
USGS	01104430	2008-04-27	3.3	A	14.3	A	13.6	A	13.8	A	825	A	821	A	822	A	11.0	A	5.7	A	8.8	A	0.01	A
USGS	01104430	2008-04-28	3.4	A	13.6	A	12.9	A	13.3	A	824	A	813	A	819	A	12.3	A	4.9	A	7.7	A	1.07	A
USGS	01104430	2008-04-29	3.7	A	13.2	A	12.6	A	12.9	A	818	A	806	A	812	A	16.9	A	5.3	A	11.1	A	1.29	A
USGS	01104430	2008-04-30	3.8	A	13.0	A	12.1	A	12.5	A	813	A	807	A	810	A	11.8	A	0.9	A	6.4	A	0.00	A
USGS	01104430	2008-05-01	3.9	A	12.6	A	12.0	A	12.3	A	813	A	806	A	810	A	15.4	A	-1.0	A	8.0	A	0.00	A
USGS	01104430	2008-05-02	4.0	A	12.6	A	12.3	A	12.5	A	813	A	807	A	810	A	10.5	A	5.7	A	8.1	A	0.08	A
USGS	01104430	2008-05-03	4.1	A	12.4	A	12.0	A	12.2	A	810	A	807	A	808	A	8.1	A	6.3	A	7.3	A	0.10	A
USGS	01104430	2008-05-04	4.4	A	12.0	A	11.7	A	11.8	A	807	A	804	A	806	A	11.3	A	4.9	A	8.3	A	0.16	A
USGS	01104430	2008-05-05	4.5	A	12.4	A	11.5	A	11.9	A	808	A	801	A	805	A	20.8	A	4.6	A	11.9	A	0.01	A
USGS	01104430	2008-05-06	4.6	A	13.0	A	11.6	A	12.2	A	808	A	800	A	803	A	23.9	A	5.1	A	14.3	A	0.00	A
USGS	01104430	2008-05-07	4.6	A	13.4	A	11.9	A	12.6	A	809	A	791	A	803	A	23.2	A	8.5	A	16.6	A	0.00	A
USGS	01104430	2008-05-08	4.6	A	13.0	A	12.2	A	12.5	A	808	A	794	A	804	A	25.2	A	13.2	A	17.8	A	0.05	A
USGS	01104430	2008-05-09	4.5	A	13.8	A	13.0	A	13.5	A	810	A	803	A	806	A	15.5	A	8.2	A	11.1	A	0.21	A
USGS	01104430	2008-05-10	4.5	A	13.8	A	13.3	A	13.6	A	809	A	795	A	805	A	16.1	A	5.1	A	10.4	A	0.01	A
USGS	01104430	2008-05-11	4.6	A	14.2	A	13.3	A	13.7	A	812	A	794	A	804	A	16.7	A	3.4	A	9.9	A	0.00	A
USGS	01104430	2008-05-12	4.5	A	14.5	A	13.5	A	14.0	A	814	A	797	A	808	A	11.2	A	7.1	A	9.6	A	0.00	A
USGS	01104430	2008-05-13	4.5	A	14.5	A	13.6	A	14.0	A	814	A	801	A	810	A	19.5	A	7.1	A	13.0	A	0.00	A
USGS	01104430	2008-05-14	4.4	A	15.2	A	13.8	A	14.2	A	819	A	797	A	811	A	19.8	A	4.1	A	12.3	A	0.00	A
USGS	01104430	2008-05-15	4.3	A	14.2	A	13.7	A	13.9	A	822	A	797	A	814	A	19.6	A	7.7	A	14.2	A	0.00	A
USGS	01104430	2008-05-16	4.4	A	14.6	A	14.0	A	14.3	A	824	A	803	A	817	A	17.3	A	8.3	A	12.0	A	0.34	A
USGS	01104430	2008-05-17	4.4	A	14.8	A	14.2	A	14.4	A	821	A	803	A	817	A	22.8	A	8.9	A	14.6	A	0.21	A
USGS	01104430	2008-05-18	4.5	A	14.6	A	14.1	A	14.3	A	828	A	806	A	822	A	21.2	A	11.6	A	15.5	A	0.01	A
USGS	01104430	2008-05-19	4.6	A	14.5	A	14.0	A	14.2	A	827	A	818	A	824	A	14.9	A	8.0	A	11.5	A	0.00	A
USGS	01104430	2008-05-20	4.6	A	14.4	A	13.8	A	14.1	A	826	A	819	A	822	A	19.1	A	4.1	A	12.0	A	0.00	A
USGS	01104430	2008-05-21	4.6	A	14.5	A	14.0	A	14.2	A	829	A	821	A	824	A	20.6	A	8.7	A	13.6	A	0.12	A
USGS	01104430	2008-05-22	4.6	A	14.8	A	14.2	A	14.4	A	826	A	820	A	824	A	14.9	A	7.5	A	10.5	A	0.02	A
USGS	01104430	2008-05-23	4.6	A	15.4	A	14.3	A	14.8	A	835	A	820	A	827	A	20.4	A	6.7	A	14.3	A	0.00	A
USGS	01104430	2008-05-24	4.6	A	15.5	A	14.8	A	15.1	A	834	A	830	A	832	A	19.5	A	8.4	A	14.9	A	0.00	A
USGS	01104430	2008-05-25	4.6	A	16.1	A	14.9	A	15.4	A	834	A	830	A	831	A	23.6	A	7.7	A	16.4	A	0.00	A
USGS	01104430	2008-05-26	4.6	A	15.2	A	14.8	A	15.0	A	832	A	827	A	830	A	26.5	A	8.4	A	18.7	A	0.00	A
USGS	01104430	2008-05-27	4.7	A	16.4	A	15.1	A	15.7	A	833	A	813	A	829	A	28.5	A	13.5	A	20.3	A	1.01	A
USGS	01104430	2008-05-28	4.8	A	16.9	A	16.0	A	16.4	A	830	A	823	A	826	A	18.7	A	8.0	A	13.5	A	0.00	A
USGS	01104430	2008-05-29	4.6	A	16.6	A	16.0	A	16.4	A	831	A	823	A	827	A	23.9	A	7.2	A	15.8	A	0.00	A
USGS	01104430	2008-05-30	4.6	A	17.9	A	16.4	A	16.9	A	831	A	823	A	828	A	21.2	A	9.3	A	16.5	A	0.00	A
USGS	01104430	2008-05-31	4.6	A	16.9	A	16.5	A	16.7	A	830	A	825	A	827	A	24.0	A	15.4	A	18.8	A	0.06	A
USGS	01104430	2008-06-01	4.6	A	17.8	A	16.8	A	17.1	A	830	A	825	A	828	A	26.2	A	13.5	A	19.6	A	0.01	A
USGS	01104430	2008-06-02	4.7	A	18.4	A	17.6	A	17.9	A	834	A	826	A	830	A	23.8	A	10.9	A	17.8	A	0.00	A
USGS	01104430	2008-06-03	4.7	A	18.4	A	17.5	A	18.0	A	830	A	822	A	827	A	27.9	A	12.3	A	20.8	A	0.00	A
USGS	01104430	2008-06-04	4.7	A	18.6	A	18.0	A	18.2	A	830	A	818	A	824	A	18.5	A	13.4	A	15.1	A	0.45	A
USGS	01104430	2008-06-05	4.7	A	18.2	A	17.4	A	17.8	A	826	A	817	A	822	A	15.4	A	13.0	A	14.3	A	0.03	A
USGS	01104430	2008-06-06	4.9	A	17.7	A	17.2	A	17.4	A	825	A	817	A	820	A	15.5	A	11.6	A	13.7	A	0.15	A
USGS	01104430	2008-06-07	4.9	A	17.9	A	17.2	A	17.5	A	843	A	815	A	825	A	32.0	A	13.8	A	22.3	A	0.00	A
USGS	01104430	2008-06-08	4.9	A	18.3	A	17.5	A	17.8	A	841	A	834	A	838	A	32.0	A	20.3	A	26.5	A	0.00	A
USGS	01104430	2008-06-09	4.7	A	21.0	A	18.0	A	18.7	A	843	A	831	A	837	A	33.7	A	20.4	A	26.6	A	0.00	A
USGS	01104430	2008-06-10	4.6	A	19.7	A	18.0	A	18.6	A	838	A	828	A	834	A	35.0	A	19.9	A	27.2	A	0.00	A
USGS	01104430	2008-06-11	4.5	A	21.3	A	18.5	A	19.9	A	841	A	826	A	836	A	28.3	A	19.1	A	23.3	A	0.07	A
USGS	01104430	2008-06-12	20	A	22.0	A	17.6	A	19.1	A	841	A	818	A	832	A	24.7	A	15.0	A	20.8	A	0.00	A
USGS	01104430	2008-06-13	36	A	18.0	A	17.6	A	17.9	A	834	A	819	A	828	A	26.1	A	11.6	A	19.6	A	0.00	A
USGS	01104430	2008-06-14	35	A	18.3	A	17.8	A	18.0	A	835	A	825	A	831	A	26.9	A	14.5	A	20.6	A	0.01	A
USGS	01104430	2008-06-15	35	A	18.3	A	17.8	A	18.0	A	837	A	827	A	835	A	18.7	A	13.9	A	15.7	A	0.31	A
USGS	01104430	2008-06-16	35	A	18.2	A	17.6	A	17.9	A	843	A	830	A	838	A	19.2	A	14.5	A	16.4	A	0.53	A
USGS	01104430	2008-06-17	35	A	18.5	A	17.7	A	18.1	A	847	A	840	A	844	A	24.2	A	13.7	A	18.5	A	0.00	A
USGS	01104430	2008-06-18	32	A	18.2	A	17.7	A	18.0	A	848	A	842	A	844	A	21.9	A	10.6	A	17.2	A	0.00	A
USGS	01104430	2008-06-19	28	A	18.4	A	17.9	A	18.1	A	848	A	841	A	844	A	23.4	A	13.1	A	18.2	A	0.00	A
USGS	01104430	2008-06-20	21	A	18.4	A	17.4	A	17.9	A	848	A	841	A	844	A	24.2	A	13.3	A	18.3	A	0.04	A
USGS	01104430	2008-06-21	16	A	18.1	A	17.6	A	17.8	A	845	A	842	A	844	A	26.3	A	14.2	A	20.5	A	0.00	A
USGS	01104430	2008-06-22	13	A	18.2	A	17.4	A	17.9	A	845	A	842	A	844	A	27.4	A	15.9	A	20.1	A	0.14	A
USGS	01104430	2008-06-23	13	A	18.6	A	17.7	A	17.9	A	847	A	830	A	843	A	23.3	A	17.8	A	20.0	A	1.47	A
USGS	01104430	2008-06-24	13	A	19.1	A	17.4	A	18.1	A	844	A	834	A	841	A	25.6	A	14.4	A	19.4	A	0.65	A
USGS	01104430	2008-06-25	7.9	A	19.7	A	17.9	A	19.0	A	843	A	835	A	839	A	26.1	A	14.0	A	19.8	A	0.00	A
USGS	01104430	2008-06-26	5.4	A	19.7	A	19.2	A	19.4	A	844	A	836	A	840	A	24.7	A	15.2	A	20.1	A	0.00	A
USGS	01104430	2008-06-27	5.6	A	20.0	A	19.2	A	19.6	A	844	A	825	A	840	A	27.2	A	17.5	A	21.5	A	1.37	A
USGS	01104430	2008-06-28	5.7	A	20.2	A	19.6	A	19.8	A	843	A	834	A	839	A	21.3	A	15.7	A	18.9	A	0.00	A
USGS	01104430	2008-06-29	5.6	A	20.3	A	19.4	A	19.8	A	844	A	835	A	840	A	27.4	A	15.6	A	20.4	A	0.14	A
USGS	01104430	2008-06-30	5.6	A	20.2	A	19.3	A	19.8	A	842	A	826	A	835	A	28.4	A	19.5	A	24.1	A	0.00	A
USGS	01104430	2008-07-01	5.6	A	20.6	A	19.8	A	20.2	A	836	A	824	A	831	A	28.9	A	18.0	A	22.9	A	0.19	A
USGS	01104430	2008-07-02	5.1	A	21.3	A	20.2	A	20.9	A	844	A	829	A	837	A	27.0	A	16.8	A	20.1	A	0.27	A
USGS	01104430	2008-07-03	5.3	A	21.3	A	20.0	A	20.6	A	845	A	821	A	838	A	29.4	A	15.9	A	22.3	A	0.33	A
USGS	01104430	2008-07-04	5.4	A	21.1	A	20.5	A	20.9	A	822	A	798	A	807	A	21.4	A	16.4	A	18.9	A	0.30	A
USGS	01104430	2008-07-05	5.4	A	21.2	A	20.7	A	20.9	A	800	A	796	A	798	A	22.6	A	16.9	A	19.6	A	0.00	A
USGS	01104430	2008-07-06	5.5	A	21.1	A	20.7	A	20.9	A	801	A	796	A	798	A	27.1	A	17.0	A	22.0	A	0.00	A
USGS	01104430	2008-07-07	5.6	A	21.3	A	20.6	A	20.9	A	808	A	798	A	802	A	29.0	A	19.3	A	24.5	A	0.00	A
USGS	01104430	2008-07-08	5.6	A	21.5	A	20.9	A	21.2	A	810	A	802	A	807	A	30.6	A	22.0	A	26.3	A	0.00	A
USGS	01104430	2008-07-09	5.5	A	22.0	A	20.9	A	21.4	A	814	A	806	A	810	A	31.4	A	21.3	A	25.7	A	0.10	A
USGS	01104430	2008-07-10	5.3	A	22.4	A	21.8	A	22.1	A	818	A	809	A	813	A	27.3	A	18.4	A	23.4	A	0.12	A
USGS	01104430	2008-07-11	5.3	A	22.4	A	21.8	A	22.2	A	822	A	813	A	817	A	27.5	A	15.2	A	21.9	A	0.00	A
USGS	01104430	2008-07-12	5.2	A	22.5	A	21.8	A	22.2	A	822	A	816	A	819	A	27.4	A	17.2	A	22.7	A	0.00	A
USGS	01104430	2008-07-13	5.2	A	22.0	A	21.2	A	21.7	A	823	A	818	A	820	A	28.0	A	19.6	A	23.5	A	0.00	A
USGS	01104430	2008-07-14	5.1	A	22.2	A	21.7	A	21.9	A	830	A	821	A	824	A	26.6	A	18.4	A	23.3	A	0.00	A
USGS	01104430	2008-07-15	7.1	A	22.3	A	19.4	A	20.9	A	828	A	820	A	824	A	29.3	A	16.0	A	23.0	A	0.00	A
USGS	01104430	2008-07-16	9.7	A	20.1	A	19.5	A	19.8	A	830	A	823	A	826	A	29.9	A	15.6	A	23.3	A	0.00	A
USGS	01104430	2008-07-17	17	A	20.2	A	19.1	A	19.8	A	833	A	823	A	828	A	29.8	A	17.8	A	24.2	A	0.00	A
USGS	01104430	2008-07-18	21	A	20.1	A	19.4	A	19.8	A	836	A	828	A	832	A	30.8	A	18.5	A	24.6	A	0.02	A
USGS	01104430	2008-07-19	25	A	21.2	A	19.4	A	20.2	A	839	A	828	A	832	A	31.8	A	19.0	A	25.2	A	0.00	A
USGS	01104430	2008-07-20	33	A	21.4	A	20.1	A	20.7	A	840	A	825	A	834	A	30.1	A	21.3	A	23.9	A	1.49	A
USGS	01104430	2008-07-21	35	A	21.7	A	20.5	A	21.0	A	836	A	825	A	832	A	29.0	A	19.2	A	23.0	A	1.00	A
USGS	01104430	2008-07-22	26	A	21.8	A	19.9	A	20.7	A	836	A	824	A	831	A	24.9	A	18.7	A	21.3	A	0.24	A
USGS	01104430	2008-07-23	9.1	A	26.2	A	20.2	A	23.7	A	834	A	797	A	823	A	22.0	A	18.8	A	20.4	A	1.30	A
USGS	01104430	2008-07-24	3.5	A	25.8	A	24.8	A	25.4	A	816	A	786	A	799	A	25.1	A	20.3	A	21.6	A	2.78	A
USGS	01104430	2008-07-25	3.8	A	25.4	A	24.7	A	25.0	A	800	A	784	A	793	A	27.5	A	18.5	A	22.7	A	0.00	A
USGS	01104430	2008-07-26	4.0	A	25.5	A	24.7	A	25.0	A	803	A	794	A	799	A	29.0	A	16.4	A	23.1	A	0.00	A
USGS	01104430	2008-07-27	8.3	A	24.9	A	20.0	A	21.9	A	836	A	799	A	819	A	26.5	A	17.3	A	20.6	A	0.79	A
USGS	01104430	2008-07-28	21	A	21.4	A	20.5	A	21.0	A	833	A	813	A	823	A	27.8	A	17.0	A	21.8	A	0.00	A
USGS	01104430	2008-07-29	34	A	22.1	A	20.8	A	21.4	A	832	A	811	A	823	A	28.1	A	18.3	A	23.4	A	0.00	A
USGS	01104430	2008-07-30	41	A	22.1	A	21.4	A	21.8	A	825	A	802	A	817	A	28.0	A	17.4	A	23.0	A	0.00	A
USGS	01104430	2008-07-31	40	A	22.2	A	21.5	A	21.8	A	819	A	792	A	808	A	28.5	A	19.7	A	23.5	A	0.28	A
USGS	01104430	2008-08-01	40	A	22.3	A	21.8	A	22.0	A	808	A	781	A	797	A	27.9	A	19.6	A	23.4	A	0.00	A
USGS	01104430	2008-08-02	35	A	22.4	A	21.4	A	21.9	A	794	A	760	A	784	A	27.4	A	18.9	A	21.5	A	0.61	A
USGS	01104430	2008-08-03	29	A	22.4	A	21.4	A	21.8	A	778	A	743	A	764	A	25.8	A	18.3	A	21.1	A	0.10	A
USGS	01104430	2008-08-04	29	A	22.4	A	21.4	A	21.9	A	757	A	727	A	743	A	26.0	A	17.4	A	22.2	A	0.01	A
USGS	01104430	2008-08-05	29	A	22.7	A	21.7	A	22.1	A	741	A	706	A	729	A	22.9	A	19.0	A	20.7	A	0.00	A
USGS	01104430	2008-08-06	29	A	22.2	A	21.7	A	22.0	A	722	A	680	A	704	A	19.4	A	16.7	A	17.8	A	0.39	A
USGS	01104430	2008-08-07	18	A	22.1	A	20.7	A	21.3	A	700	A	670	A	687	A	23.2	A	17.4	A	19.1	A	0.17	A
USGS	01104430	2008-08-08	10	A	21.8	A	20.6	A	20.8	A	694	A	667	A	685	A	24.7	A	16.6	A	19.3	A	0.72	A
USGS	01104430	2008-08-09	6.0	A	24.6	A	20.6	A	22.8	A	704	A	675	A	686	A	24.8	A	16.6	A	19.8	A	0.00	A
USGS	01104430	2008-08-10	3.3	A	25.1	A	23.9	A	24.3	A	698	A	685	A	691	A	27.2	A	16.1	A	19.8	A	0.10	A
USGS	01104430	2008-08-11	3.3	A	24.4	A	23.8	A	24.1	A	697	A	689	A	692	A	20.2	A	16.4	A	18.8	A	0.04	A
USGS	01104430	2008-08-12	15	A	23.9	A	21.1	A	22.2	A	707	A	690	A	699	A	22.4	A	15.9	A	18.5	A	0.10	A
USGS	01104430	2008-08-13	20	A							706	A	696	A	702	A	25.0	A:e	14.2	A:e	19.2	A:e	0.20	A:e
USGS	01104430	2008-08-14	20	A	22.1	A	21.2	A	21.6	A	714	A	700	A	706	A	26.4	A	15.7	A	20.3	A	0.00	A
USGS	01104430	2008-08-15	20	A	22.0	A	21.3	A	21.7	A	713	A	703	A	708	A	25.6	A	16.7	A	20.1	A	0.82	A
USGS	01104430	2008-08-16	20	A	22.2	A	21.4	A	21.7	A	719	A	705	A	710	A	25.4	A	16.2	A	19.8	A	0.01	A
USGS	01104430	2008-08-17	20	A	22.1	A	21.2	A	21.7	A	714	A	687	A	697	A	26.3	A	15.8	A	20.9	A	0.00	A
USGS	01104430	2008-08-18	20	A	22.1	A	21.5	A	21.9	A	695	A	684	A	689	A	28.6	A	17.8	A	23.2	A	0.00	A
USGS	01104430	2008-08-19	19	A	22.4	A	21.7	A	22.0	A	706	A	687	A	694	A	24.5	A	14.4	A	20.5	A	0.03	A
USGS	01104430	2008-08-20	19	A	22.2	A	21.7	A	21.9	A	702	A	693	A	697	A	21.8	A	11.0	A	16.7	A	0.00	A
USGS	01104430	2008-08-21	19	A	22.2	A	21.8	A	22.0	A	701	A	688	A	695	A	24.8	A	11.7	A	18.4	A	0.00	A
USGS	01104430	2008-08-22	20	A	22.3	A	21.8	A	22.0	A	699	A	690	A	694	A	27.4	A	14.0	A	20.6	A	0.00	A
USGS	01104430	2008-08-23	20	A	22.4	A	21.8	A	22.0	A	701	A	687	A	693	A	26.4	A	15.0	A	20.3	A	0.00	A
USGS	01104430	2008-08-24	20	A	22.5	A	21.8	A	22.1	A	698	A	685	A	690	A	25.3	A	14.4	A	19.9	A	0.00	A
USGS	01104430	2008-08-25	20	A	22.8	A	21.7	A	22.1	A	694	A	684	A	688	A	26.8	A	16.6	A	21.9	A	0.00	A
USGS	01104430	2008-08-26	20	A	22.5	A	21.9	A	22.3	A	694	A	682	A	687	A	22.0	A	11.9	A	17.2	A	0.00	A
USGS	01104430	2008-08-27	20	A	22.5	A	21.9	A	22.2	A	690	A	677	A	684	A	24.2	A	11.7	A	18.2	A	0.00	A
USGS	01104430	2008-08-28	20	A	22.8	A	22.0	A	22.4	A	697	A	678	A	686	A	24.5	A	13.9	A	19.0	A	0.00	A
USGS	01104430	2008-08-29	20	A	22.6	A	22.0	A	22.3	A	695	A	683	A	688	A	24.8	A	13.2	A	19.8	A	0.00	A
USGS	01104430	2008-08-30	20	A	22.5	A	22.0	A	22.2	A	696	A	679	A	687	A	25.0	A	18.4	A	21.2	A	0.02	A
USGS	01104430	2008-08-31	20	A	22.9	A	22.1	A	22.5	A	704	A	684	A	691	A	25.4	A	15.8	A	21.2	A	0.00	A
USGS	01104430	2008-09-01	20	A	23.0	A	22.1	A	22.5	A	701	A	688	A	693	A	27.3	A	13.8	A	20.5	A	0.00	A
USGS	01104430	2008-09-02	20	A	23.2	A	22.4	A	22.6	A	705	A	688	A	696	A	25.5	A	15.7	A	20.2	A	0.00	A
USGS	01104430	2008-09-03	20	A	23.0	A	22.3	A	22.7	A	707	A	698	A	701	A	25.1	A	13.8	A	19.2	A	0.00	A
USGS	01104430	2008-09-04	19	A	22.9	A	22.2	A	22.5	A	709	A	700	A	704	A	28.2	A	16.7	A	22.2	A	0.00	A
USGS	01104430	2008-09-05	11	A	22.8	A	21.5	A	22.2	A	717	A	704	A	710	A	29.5	A	18.4	A	23.3	A	0.00	A
USGS	01104430	2008-09-06	5.2	A	22.8	A	21.8	A	22.2	A	719	A	704	A	711	A	27.3	A	20.2	A	23.2	A	3.19	A
USGS	01104430	2008-09-07	5.9	A	23.0	A	22.1	A	22.5	A	708	A	691	A	698	A	24.7	A	16.1	A	21.4	A	0.39	A
USGS	01104430	2008-09-08	6.0	A	22.8	A	21.9	A	22.3	A	713	A	697	A	704	A	23.8	A	14.0	A	18.8	A	0.00	A
USGS	01104430	2008-09-09	6.2	A	22.7	A	21.8	A	22.2	A	710	A	701	A	707	A	22.8	A	14.4	A	18.0	A	0.35	A
USGS	01104430	2008-09-10	6.2	A	22.6	A	21.8	A	22.1	A	715	A	699	A	706	A	19.1	A	10.3	A	15.5	A	0.00	A
USGS	01104430	2008-09-11	6.2	A	22.6	A	21.5	A	21.9	A	711	A	697	A	706	A	20.5	A	8.3	A	14.7	A	0.00	A
USGS	01104430	2008-09-12	6.1	A	22.0	A	21.2	A	21.6	A	712	A	701	A	706	A	18.9	A	12.2	A	15.6	A	0.13	A
USGS	01104430	2008-09-13	6.1	A	22.0	A	21.3	A	21.6	A	710	A	698	A	704	A	24.2	A	17.0	A	20.1	A	0.00	A
USGS	01104430	2008-09-14	6.2	A	21.9	A	21.1	A	21.5	A	708	A	697	A	702	A	22.6	A	18.3	A	20.6	A	0.40	A
USGS	01104430	2008-09-15	6.3	A	21.8	A	21.2	A	21.5	A	705	A	698	A	702	A	26.2	A	17.9	A	23.0	A	0.00	A
USGS	01104430	2008-09-16	6.1	A	21.7	A	21.1	A	21.5	A	715	A	701	A	706	A	19.2	A	13.0	A	16.2	A	0.00	A
USGS	01104430	2008-09-17	6.0	A	21.8	A	21.1	A	21.3	A	715	A	703	A	707	A	21.6	A	11.0	A	15.9	A	0.00	A
USGS	01104430	2008-09-18	5.9	A	21.6	A	20.9	A	21.2	A	717	A	704	A	708	A	19.4	A	10.4	A	15.0	A	0.00	A
USGS	01104430	2008-09-19	5.9	A	21.3	A	20.4	A	20.9	A	714	A	705	A	709	A	14.9	A	7.6	A	11.3	A	0.00	A
USGS	01104430	2008-09-20	5.8	A	20.8	A	20.0	A	20.4	A	713	A	705	A	709	A	18.3	A	5.2	A	11.5	A	0.00	A
USGS	01104430	2008-09-21	5.6	A	20.5	A	19.9	A	20.2	A	713	A	705	A	709	A	24.5	A	8.3	A	16.0	A	0.09	A
USGS	01104430	2008-09-22	5.6	A	20.7	A	20.0	A	20.4	A	714	A	702	A	709	A	16.0	A	8.8	A	14.2	A	0.00	A
USGS	01104430	2008-09-23	5.5	A	20.2	A	19.5	A	19.9	A	707	A	700	A	703	A	17.5	A	7.8	A	12.0	A	0.00	A
USGS	01104430	2008-09-24	5.4	A	19.8	A	19.3	A	19.5	A	707	A	698	A	702	A	18.6	A	6.3	A	12.2	A	0.00	A
USGS	01104430	2008-09-25	5.5	A	19.8	A	19.1	A	19.4	A	704	A	698	A	701	A	17.8	A	7.4	A	13.0	A	0.00	A
USGS	01104430	2008-09-26	5.8	A	19.4	A	18.7	A	19.1	A	704	A	690	A	698	A	18.1	A	12.9	A	16.2	A	2.10	A
USGS	01104430	2008-09-27	6.0	A	19.1	A	18.8	A	19.0	A	696	A	688	A	693	A	20.1	A	16.8	A	18.4	A	0.82	A
USGS	01104430	2008-09-28	6.2	A	19.1	A	18.8	A	19.0	A	692	A	689	A	690	A	21.3	A	18.8	A	19.6	A	0.41	A
USGS	01104430	2008-09-29	5.7	A	19.3	A	18.8	A	19.0	A	692	A	685	A	688	A	21.3	A	17.3	A	18.9	A	0.10	A
USGS	01104430	2008-09-30	5.8	A	19.2	A	18.7	A	19.1	A	691	A	683	A	687	A	18.2	A	15.7	A	16.8	A	0.00	A
USGS	01104430	2008-10-01	6.1	A	19.2	A	18.6	A	18.9	A	692	A	681	A	688	A	18.6	A	15.2	A	16.6	A	0.36	A
USGS	01104430	2008-10-02	15	A	19.0	A	18.5	A	18.8	A	690	A	679	A	685	A	17.1	A	7.2	A	14.0	A	0.07	A
USGS	01104430	2008-10-03	21	A	18.7	A	18.0	A	18.3	A	689	A	676	A	683	A	16.8	A	5.9	A	10.4	A	0.01	A
USGS	01104430	2008-10-04	21	A	18.1	A	17.6	A	17.8	A	686	A	682	A	684	A	16.8	A	4.6	A	10.3	A	0.00	A
USGS	01104430	2008-10-05	20	A	17.6	A	17.2	A	17.4	A	687	A	683	A	685	A	13.5	A	5.2	A	9.4	A	0.00	A
